"Statistic Label","Census Year","Age Group","Sex","Administrative Counties","Frequency of speaking Irish","Level of Irish Spoken","UNIT","VALUE"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","762"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","610976"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","28616"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","193396"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","379994"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","8970"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","472887"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","4022"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","46516"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","395100"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","27249"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Not stated","Speaks Irish - Total","Number","45385"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Not stated","Speaks Irish - Very well","Number","4112"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Not stated","Speaks Irish - Well","Number","8855"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Not stated","Speaks Irish - Not well","Number","26890"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Not stated","Ability to speak Irish, not stated","Number","5528"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","All Irish speakers","Speaks Irish - Total","Number","21426"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","All Irish speakers","Speaks Irish - Very well","Number","2056"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","All Irish speakers","Speaks Irish - Well","Number","6830"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","All Irish speakers","Speaks Irish - Not well","Number","11881"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","All Irish speakers","Ability to speak Irish, not stated","Number","659"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","6742"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","1158"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","3300"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","2189"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","95"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","150"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","106"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","28"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","15"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","1"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","70"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","19"
