"Statistic Label","Census Year","Age Group","Sex","Administrative Counties","Frequency of speaking Irish","Level of Irish Spoken","UNIT","VALUE"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","93"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","257"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","20"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","91"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","143"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","3"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","123"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","5"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","23"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","93"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","2"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","2244"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","987"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","833"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","407"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","17"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","5618"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","992"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","2632"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","1951"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","43"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","30547"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","1590"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","9219"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","19361"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","377"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","23416"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","226"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","2358"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","19697"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","1135"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Not stated","Speaks Irish - Total","Number","2493"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Not stated","Speaks Irish - Very well","Number","227"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Not stated","Speaks Irish - Well","Number","458"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Not stated","Speaks Irish - Not well","Number","1493"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","South Dublin County Council","Not stated","Ability to speak Irish, not stated","Number","315"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","All Irish speakers","Speaks Irish - Total","Number","95484"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","All Irish speakers","Speaks Irish - Very well","Number","9603"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","All Irish speakers","Speaks Irish - Well","Number","30433"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","All Irish speakers","Speaks Irish - Not well","Number","53144"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","All Irish speakers","Ability to speak Irish, not stated","Number","2304"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","30668"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","5365"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","14934"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","9945"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","424"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","941"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","664"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","216"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","59"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","2"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","340"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","77"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","178"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","80"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","5"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","196"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","29"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","73"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","91"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","3"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","127"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","5"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","30"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","89"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","3"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","1758"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","770"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","644"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","325"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","19"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","5517"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","885"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","2617"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","1994"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","21"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","29754"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","1441"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","9028"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","18959"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","326"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","24206"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","223"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","2372"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","20345"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","1266"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Not stated","Speaks Irish - Total","Number","1977"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Not stated","Speaks Irish - Very well","Number","144"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Not stated","Speaks Irish - Well","Number","341"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Not stated","Speaks Irish - Not well","Number","1257"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kildare County Council","Not stated","Ability to speak Irish, not stated","Number","235"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","All Irish speakers","Speaks Irish - Total","Number","41037"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","All Irish speakers","Speaks Irish - Very well","Number","3475"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","All Irish speakers","Speaks Irish - Well","Number","13258"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","All Irish speakers","Speaks Irish - Not well","Number","23091"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","All Irish speakers","Ability to speak Irish, not stated","Number","1213"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","12837"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","2033"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","6530"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","4114"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","160"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","299"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","204"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","66"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","27"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","2"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","136"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","21"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","79"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","35"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","1"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","81"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","10"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","28"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","43"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","52"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","2"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","12"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","36"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","2"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","620"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","258"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","249"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","109"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","4"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","2178"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","282"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","1093"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","785"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","18"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","13268"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","534"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","4024"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","8486"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","224"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","10633"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","75"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","989"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","8878"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","691"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Not stated","Speaks Irish - Total","Number","933"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Not stated","Speaks Irish - Very well","Number","56"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Not stated","Speaks Irish - Well","Number","188"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Not stated","Speaks Irish - Not well","Number","578"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Kilkenny County Council","Not stated","Ability to speak Irish, not stated","Number","111"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","All Irish speakers","Speaks Irish - Total","Number","33538"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","All Irish speakers","Speaks Irish - Very well","Number","2623"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","All Irish speakers","Speaks Irish - Well","Number","11215"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","All Irish speakers","Speaks Irish - Not well","Number","18671"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","All Irish speakers","Ability to speak Irish, not stated","Number","1029"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","11077"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","1575"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","5753"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","3592"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","157"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","220"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","135"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","59"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","20"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","6"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","137"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","33"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","65"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","38"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","1"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","78"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","8"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","28"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","41"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","1"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","43"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","1"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","6"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","32"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","4"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","458"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","166"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","203"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","85"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","4"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","1796"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","252"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","912"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","620"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","12"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","10409"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","343"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","3228"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","6656"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","182"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","8636"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","71"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Laois County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","830"
