"Statistic Label","Census Year","Sex","County of Usual Residence","UNIT","VALUE"
"Population 3 years and over","2022","Female","Monaghan","Number","31149"
"Irish speakers","2022","Both sexes","State","Number","1873997"
"Irish speakers","2022","Both sexes","Carlow","Number","21426"
"Irish speakers","2022","Both sexes","Dublin City","Number","162400"
"Irish speakers","2022","Both sexes","Dún Laoghaire-Rathdown","Number","93899"
"Irish speakers","2022","Both sexes","Fingal","Number","113366"
"Irish speakers","2022","Both sexes","South Dublin","Number","98014"
"Irish speakers","2022","Both sexes","Kildare","Number","95484"
"Irish speakers","2022","Both sexes","Kilkenny","Number","41037"
"Irish speakers","2022","Both sexes","Laois","Number","33538"
"Irish speakers","2022","Both sexes","Longford","Number","14993"
"Irish speakers","2022","Both sexes","Louth","Number","44078"
"Irish speakers","2022","Both sexes","Meath","Number","80822"
"Irish speakers","2022","Both sexes","Offaly","Number","28231"
"Irish speakers","2022","Both sexes","Westmeath","Number","33598"
"Irish speakers","2022","Both sexes","Wexford","Number","55198"
"Irish speakers","2022","Both sexes","Wicklow","Number","56012"
"Irish speakers","2022","Both sexes","Clare","Number","54437"
"Irish speakers","2022","Both sexes","Cork City and Cork County","Number","238226"
"Irish speakers","2022","Both sexes","Kerry","Number","62877"
"Irish speakers","2022","Both sexes","Limerick City and County","Number","78172"
"Irish speakers","2022","Both sexes","Tipperary","Number","66003"
"Irish speakers","2022","Both sexes","Waterford City and County","Number","48106"
"Irish speakers","2022","Both sexes","Galway City","Number","32708"
"Irish speakers","2022","Both sexes","Galway County","Number","89222"
"Irish speakers","2022","Both sexes","Leitrim","Number","13153"
"Irish speakers","2022","Both sexes","Mayo","Number","56346"
"Irish speakers","2022","Both sexes","Roscommon","Number","26853"
"Irish speakers","2022","Both sexes","Sligo","Number","26506"
"Irish speakers","2022","Both sexes","Cavan","Number","26591"
"Irish speakers","2022","Both sexes","Donegal","Number","59130"
"Irish speakers","2022","Both sexes","Monaghan","Number","23571"
"Irish speakers","2022","Male","State","Number","843826"
"Irish speakers","2022","Male","Carlow","Number","9370"
"Irish speakers","2022","Male","Dublin City","Number","72519"
"Irish speakers","2022","Male","Dún Laoghaire-Rathdown","Number","42344"
"Irish speakers","2022","Male","Fingal","Number","51782"
"Irish speakers","2022","Male","South Dublin","Number","44206"
"Irish speakers","2022","Male","Kildare","Number","43215"
"Irish speakers","2022","Male","Kilkenny","Number","18357"
"Irish speakers","2022","Male","Laois","Number","14762"
"Irish speakers","2022","Male","Longford","Number","6705"
"Irish speakers","2022","Male","Louth","Number","19748"
"Irish speakers","2022","Male","Meath","Number","36325"
"Irish speakers","2022","Male","Offaly","Number","12347"
"Irish speakers","2022","Male","Westmeath","Number","15018"
"Irish speakers","2022","Male","Wexford","Number","24174"
"Irish speakers","2022","Male","Wicklow","Number","24863"
"Irish speakers","2022","Male","Clare","Number","24835"
"Irish speakers","2022","Male","Cork City and Cork County","Number","108787"
"Irish speakers","2022","Male","Kerry","Number","28291"
"Irish speakers","2022","Male","Limerick City and County","Number","35372"
"Irish speakers","2022","Male","Tipperary","Number","29740"
"Irish speakers","2022","Male","Waterford City and County","Number","21825"
"Irish speakers","2022","Male","Galway City","Number","14481"
"Irish speakers","2022","Male","Galway County","Number","41424"
"Irish speakers","2022","Male","Leitrim","Number","5877"
"Irish speakers","2022","Male","Mayo","Number","25061"
"Irish speakers","2022","Male","Roscommon","Number","11944"
"Irish speakers","2022","Male","Sligo","Number","11550"
"Irish speakers","2022","Male","Cavan","Number","11738"
"Irish speakers","2022","Male","Donegal","Number","26661"
"Irish speakers","2022","Male","Monaghan","Number","10505"
"Irish speakers","2022","Female","State","Number","1030171"
"Irish speakers","2022","Female","Carlow","Number","12056"
"Irish speakers","2022","Female","Dublin City","Number","89881"
"Irish speakers","2022","Female","Dún Laoghaire-Rathdown","Number","51555"
"Irish speakers","2022","Female","Fingal","Number","61584"
"Irish speakers","2022","Female","South Dublin","Number","53808"
"Irish speakers","2022","Female","Kildare","Number","52269"
"Irish speakers","2022","Female","Kilkenny","Number","22680"
"Irish speakers","2022","Female","Laois","Number","18776"
"Irish speakers","2022","Female","Longford","Number","8288"
"Irish speakers","2022","Female","Louth","Number","24330"
"Irish speakers","2022","Female","Meath","Number","44497"
