GUID,GEOGID,GEOGDESC,Reference Geography,ED_GUID,ED_ID_STR,ED_ENGLISH,ED_GAEILGE,ED_OFFICIAL,LEA_GUID,CSO_LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Total - Females (Normalisation) ,Total - Males (Normalisation),Total Population (Normalisation),Occupied (Normalisation),Temporarily absent (Normalisation),Unoccupied holiday homes (Normalisation),Other vacant dwellings (Normalisation),Total dwellings (Normalisation),AREA,Area unit of measure,Shape__Area,Shape__Length,GUID,Yes,No,Not stated,Total,ObjectId
2ae19629-16c2-13a3-e055-000000000001,2ae19629-16c2-13a3-e055-000000000001,CLASH,CSO ED-2022,2ae19629-16c2-13a3-e055-000000000001,107027,CLASH,AN CHLAIS,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,170,202,372,118,2,1,9,130,15136000,Sq Metres,15136309.928009,20233.0873382879,2ae19629-16c2-13a3-e055-000000000001,136,214,13,363,11
2ae19629-16c4-13a3-e055-000000000001,2ae19629-16c4-13a3-e055-000000000001,CLONDARRIG,CSO ED-2022,2ae19629-16c4-13a3-e055-000000000001,107029,CLONDARRIG,CLUAIN DEARG,Y,2ae19629-3f00-13a3-e055-000000000001,PORTLAOISE,13100401,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,1407,1346,2753,887,9,1,64,961,15190000,Sq Metres,15190181.6212769,19922.0796053353,2ae19629-16c4-13a3-e055-000000000001,912,1569,138,2619,12
2ae19629-16c5-13a3-e055-000000000001,2ae19629-16c5-13a3-e055-000000000001,CLONIN,CSO ED-2022,2ae19629-16c5-13a3-e055-000000000001,107030,CLONIN,AN CLUAINÍN,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,122,121,243,83,1,3,6,93,13270000,Sq Metres,13270431.3691406,20038.3171650165,2ae19629-16c5-13a3-e055-000000000001,98,126,12,236,13
2ae19629-16c7-13a3-e055-000000000001,2ae19629-16c7-13a3-e055-000000000001,CLONMORE,CSO ED-2022,2ae19629-16c7-13a3-e055-000000000001,107032,CLONMORE,CLUAIN MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,98,117,215,75,1,2,16,94,15268000,Sq Metres,15267816.6131592,21020.2509531455,2ae19629-16c7-13a3-e055-000000000001,76,129,4,209,14
2ae19629-16c8-13a3-e055-000000000001,2ae19629-16c8-13a3-e055-000000000001,COLT,CSO ED-2022,2ae19629-16c8-13a3-e055-000000000001,107033,COLT,COLT,Y,2ae19629-3f00-13a3-e055-000000000001,PORTLAOISE,13100401,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,89,91,180,68,0,2,4,74,10136000,Sq Metres,10135547.8406067,16200.6583122009,2ae19629-16c8-13a3-e055-000000000001,81,90,5,176,15
2ae19629-16cb-13a3-e055-000000000001,2ae19629-16cb-13a3-e055-000000000001,KILLABBAN,CSO ED-2022,2ae19629-16cb-13a3-e055-000000000001,107058,KILLABBAN,CILL ABÁIN,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,218,238,456,158,3,3,10,174,12701000,Sq Metres,12701108.7667236,20043.8119973593,2ae19629-16cb-13a3-e055-000000000001,177,249,11,437,16
2ae19629-16ce-13a3-e055-000000000001,2ae19629-16ce-13a3-e055-000000000001,KILMURRY,CSO ED-2022,2ae19629-16ce-13a3-e055-000000000001,107061,KILMURRY,CILL MHUIRE,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,154,151,305,91,4,0,5,100,9335000,Sq Metres,9335163.01541138,14141.6088714563,2ae19629-16ce-13a3-e055-000000000001,119,170,8,297,17
2ae19629-16d1-13a3-e055-000000000001,2ae19629-16d1-13a3-e055-000000000001,DUNMORE,CSO ED-2022,2ae19629-16d1-13a3-e055-000000000001,107043,DUNMORE,AN DÚN MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,146,138,284,94,1,0,4,99,10411000,Sq Metres,10411112.6142578,18044.2040170465,2ae19629-16d1-13a3-e055-000000000001,120,145,13,278,18
2ae19629-16d8-13a3-e055-000000000001,2ae19629-16d8-13a3-e055-000000000001,GARRYMORE,CSO ED-2022,2ae19629-16d8-13a3-e055-000000000001,107050,GARRYMORE,AN GARRAÍ MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,125,139,264,72,2,2,9,85,11929000,Sq Metres,11929272.1190186,19788.7080173747,2ae19629-16d8-13a3-e055-000000000001,140,117,2,259,19
2ae19629-16d9-13a3-e055-000000000001,2ae19629-16d9-13a3-e055-000000000001,GRAIGUE,CSO ED-2022,2ae19629-16d9-13a3-e055-000000000001,107051,GRAIGUE,AN GHRÁIG,N,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,128,136,264,89,1,1,12,103,14014000,Sq Metres,14014031.3768921,17781.3971627273,2ae19629-16d9-13a3-e055-000000000001,89,161,5,255,20
