ed_name,county,all_irish_speakers,never_speaks_irish_outside_education_only,not_stated,speaks_irish_daily,speaks_irish_daily_education_only,speaks_irish_less_often,speaks_irish_weekly,share_daily_of_all,share_daily_education_only_of_all,share_weekly_of_all,share_less_often_of_all,share_never_outside_education_only_of_all,share_not_stated_of_all,share_daily_any_of_all
Abbeyleix,Laois,1142,320,14,25,355,370,58,0.021891418563922942,0.3108581436077058,0.050788091068301226,0.3239929947460595,0.28021015761821366,0.012259194395796848,0.3327495621716287
Abbeymahon,Cork County,327,103,6,3,95,101,19,0.009174311926605505,0.290519877675841,0.0581039755351682,0.308868501529052,0.3149847094801223,0.01834862385321101,0.2996941896024465
Abbeyville,Galway County,122,36,3,1,35,39,8,0.00819672131147541,0.28688524590163933,0.06557377049180328,0.319672131147541,0.29508196721311475,0.02459016393442623,0.29508196721311475
Abbeyville,Limerick,135,43,3,4,40,35,10,0.02962962962962963,0.2962962962962963,0.07407407407407407,0.25925925925925924,0.31851851851851853,0.022222222222222223,0.32592592592592595
Abhainn Bhrain,Maigh Eo,152,9,4,47,20,49,23,0.3092105263157895,0.13157894736842105,0.1513157894736842,0.3223684210526316,0.05921052631578947,0.02631578947368421,0.4407894736842105
Abhainn Ghabhla,Gaillimh,241,0,12,149,51,14,15,0.6182572614107884,0.21161825726141079,0.06224066390041494,0.058091286307053944,0.0,0.04979253112033195,0.8298755186721992
Abington,Limerick,566,162,12,10,193,168,21,0.0176678445229682,0.3409893992932862,0.037102473498233215,0.2968197879858657,0.2862190812720848,0.02120141342756184,0.3586572438162544
Abington,Tipperary,281,80,8,8,81,90,14,0.028469750889679714,0.28825622775800713,0.0498220640569395,0.3202846975088968,0.2846975088967972,0.028469750889679714,0.3167259786476868
Acaill,Maigh Eo,521,68,4,38,94,255,62,0.07293666026871401,0.18042226487523993,0.11900191938579655,0.4894433781190019,0.13051823416506717,0.007677543186180422,0.2533589251439539
Achonry East,Sligo,195,46,5,6,50,76,12,0.03076923076923077,0.2564102564102564,0.06153846153846154,0.38974358974358975,0.2358974358974359,0.02564102564102564,0.28717948717948716
